
user_id,signup_date,acquisition_channel,country
u00344,2025-02-03,paid,United Kingdom
u00345,2025-10-31,paid,United States
u00346,2025-11-16,social,India
u00347,2025-09-08,social,United Kingdom
u00348,2025-12-27,organic,France
u00349,2025-03-15,referral,United States
u00350,2025-05-31,paid,India
u00351,2025-01-14,organic,United States
u00352,2025-06-08,organic,United States
u00353,2025-03-23,paid,United States
u00354,2025-05-09,organic,United States
u00355,2025-05-17,paid,United States
u00356,2025-02-23,organic,United States
u00357,2025-02-05,social,Canada
u00358,2025-03-06,organic,United States
u00359,2025-01-12,paid,Other
u00360,2025-04-26,organic,Australia
u00361,2025-10-16,paid,India
u00362,2025-01-05,social,United States
u00363,2025-10-17,paid,United States
u00364,2025-03-03,organic,United States
u00365,2025-04-27,referral,United States
u00366,2025-01-14,paid,United States
u00367,2025-11-03,organic,United States
u00368,2025-05-06,social,United States
u00369,2025-11-18,organic,France
u00370,2025-07-23,organic,United Kingdom
u00371,2025-04-29,organic,France
u00372,2025-12-27,organic,United States
u00373,2025-01-30,paid,United States
u00374,2025-06-24,organic,United States
u00375,2025-11-02,paid,United States
u00376,2025-04-04,paid,India
u00377,2025-09-15,referral,India
u00378,2025-08-02,referral,India
u00379,2025-03-22,paid,India
u00380,2025-01-27,other,India
u00381,2025-02-21,paid,United Kingdom
u00382,2025-03-06,organic,Brazil
u00383,2025-03-03,social,India
u00384,2025-06-04,other,United States
u00385,2025-04-11,organic,United States
u00386,2025-03-18,other,India
u00387,2025-09-28,referral,France
u00388,2025-12-09,referral,United States
u00389,2025-05-29,paid,United States
u00390,2025-02-09,organic,Germany
u00391,2025-01-26,paid,United States
u00392,2025-05-22,organic,United States
u00393,2025-04-04,paid,United States
u00394,2025-08-24,referral,United States
u00395,2025-07-09,organic,Brazil
u00396,2025-09-16,paid,India
u00397,2025-02-10,social,France
u00398,2025-02-17,organic,United States
u00399,2025-06-23,paid,United States
u00400,2025-09-20,paid,Australia
u00401,2025-04-23,social,United States
u00402,2025-08-08,social,United States
u00403,2025-04-16,paid,Brazil
u00404,2025-08-01,paid,India
u00405,2025-07-22,paid,United States
u00406,2025-05-14,paid,Canada
u00407,2025-02-19,paid,France
u00408,2025-12-04,organic,United States
u00409,2025-11-29,paid,United States
u00410,2025-02-05,organic,India
u00411,2025-07-16,social,United Kingdom
u00412,2025-10-14,organic,Brazil
u00413,2025-04-17,referral,India
u00414,2025-01-29,referral,United States
u00415,2025-05-27,paid,United States
u00416,2025-04-30,referral,Canada
u00417,2025-01-05,organic,United States
u00418,2025-12-27,social,Canada
u00419,2025-07-23,organic,India
u00420,2025-07-10,organic,United States
u00421,2025-08-27,organic,United States
u00422,2025-10-31,organic,India
u00423,2025-03-10,referral,Germany
u00424,2025-09-23,organic,India
u00425,2025-09-06,organic,United States
u00426,2025-08-31,organic,United States
u00427,2025-07-25,organic,France
u00428,2025-10-05,social,Other
u00429,2025-10-01,organic,India
u00430,2025-09-25,paid,India
u00431,2025-02-06,organic,United States
u00432,2025-03-12,social,Australia
u00433,2025-01-30,organic,United States
u00434,2025-07-03,paid,Other
u00435,2025-10-26,organic,United States
u00436,2025-07-02,referral,United States
u00437,2025-11-16,organic,United States
u00438,2025-02-01,social,United Kingdom
u00439,2025-04-03,referral,Australia
u00440,2025-02-09,organic,United States
u00441,2025-05-25,paid,United Kingdom
u00442,2025-10-01,organic,United States
u00443,2025-11-14,organic,Other
u00444,2025-05-25,organic,United States
u00445,2025-06-21,organic,United States
u00446,2025-03-15,paid,Brazil
u00447,2025-01-13,paid,United Kingdom
u00448,2025-01-09,organic,United States
u00449,2025-12-31,organic,Canada
u00450,2025-05-05,social,India
u00451,2025-09-13,organic,Other
u00452,2025-10-23,organic,India
u00453,2025-07-29,paid,India
u00454,2025-09-14,organic,United States
u00455,2025-10-28,organic,India
u00456,2025-03-08,organic,Australia
u00457,2025-05-11,organic,Germany
u00458,2025-02-28,paid,United States
u00459,2025-09-04,referral,Other
u00460,2025-03-15,referral,United States
u00461,2025-09-01,organic,United States
u00462,2025-01-15,organic,Canada
u00463,2025-04-25,organic,United States
u00464,2025-04-24,social,United States
u00465,2025-12-02,organic,India
u00466,2025-03-22,organic,United States
u00467,2025-01-12,paid,United States
u00468,2025-08-09,organic,Australia
u00469,2025-11-28,paid,India
u00470,2025-09-10,social,Germany
u00471,2025-12-02,other,United States
u00472,2025-07-20,paid,United States
u00473,2025-02-10,organic,United States
u00474,2025-08-31,organic,United States
u00475,2025-02-05,organic,United States
u00476,2025-04-23,organic,India
u00477,2025-03-12,referral,United States
u00478,2025-07-23,paid,United States
u00479,2025-08-16,social,United States
u00480,2025-05-25,organic,France
u00481,2025-06-22,social,India
u00482,2025-02-10,other,United States
u00483,2025-06-28,paid,United States
u00484,2025-01-26,paid,United Kingdom
u00485,2025-08-05,social,Other
u00486,2025-04-30,referral,United States
u00487,2025-05-14,paid,Brazil
u00488,2025-08-08,paid,India
u00489,2025-08-22,other,India
u00490,2025-03-27,paid,Other
u00491,2025-12-30,organic,United States
u00492,2025-08-08,organic,Other
u00493,2025-03-06,paid,United Kingdom
u00494,2025-07-03,social,United States
u00495,2025-11-25,organic,United States
u00496,2025-01-06,social,United States
u00497,2025-08-18,referral,United States
u00498,2025-12-16,organic,United States
u00499,2025-03-30,referral,United States
u00500,2025-11-25,organic,United States
u00501,2025-10-06,other,India
u00502,2025-04-08,paid,Brazil
u00503,2025-01-15,paid,United Kingdom
u00504,2025-05-28,organic,Australia
u00505,2025-08-17,paid,India
u00506,2025-04-10,organic,Brazil
u00507,2025-02-15,organic,United States
u00508,2025-10-10,organic,India
u00509,2025-10-03,referral,United States
u00510,2025-07-15,social,India
u00511,2025-05-10,referral,France
u00512,2025-01-09,organic,United States
u00513,2025-05-06,paid,United States
u00514,2025-06-07,organic,India
u00515,2025-06-27,social,Germany
u00516,2025-09-26,other,Australia
u00517,2025-01-18,organic,United States
u00518,2025-05-25,organic,United States
u00519,2025-04-19,organic,United Kingdom
u00520,2025-08-09,paid,United States
u00521,2025-05-06,organic,Other
u00522,2025-08-23,paid,United States
u00523,2025-07-19,social,United States
u00524,2025-05-26,social,United States
u00525,2025-07-25,paid,Australia
u00526,2025-08-31,paid,Canada
u00527,2025-10-05,social,Canada
u00528,2025-03-31,organic,Canada
u00529,2025-07-15,organic,United States
u00530,2025-03-14,social,United States
u00531,2025-03-10,organic,Germany
u00532,2025-03-18,paid,France
u00533,2025-06-22,paid,Canada
u00534,2025-11-09,organic,Other
u00535,2025-02-24,paid,United Kingdom
u00536,2025-09-23,social,Brazil
u00537,2025-11-22,referral,United States
u00538,2025-03-06,organic,United Kingdom
u00539,2025-01-06,social,Canada
u00540,2025-04-22,paid,Other
u00541,2025-06-17,organic,United States
u00542,2025-02-17,organic,India
u00543,2025-09-26,organic,France
u00544,2025-03-06,paid,Other
u00545,2025-04-08,organic,France
u00546,2025-05-23,paid,Brazil
u00547,2025-02-10,organic,United States
u00548,2025-11-16,paid,United States
u00549,2025-11-15,paid,United States
u00550,2025-05-12,paid,Other
u00551,2025-11-13,organic,United States
u00552,2025-01-07,paid,France
u00553,2025-11-10,paid,Germany
u00554,2025-03-19,organic,United States
u00555,2025-06-09,other,Australia
u00556,2025-05-12,organic,United States
u00557,2025-08-05,social,United States
u00558,2025-06-14,referral,Australia
u00559,2025-10-20,organic,United States
u00560,2025-08-13,social,United States
u00561,2025-10-05,organic,United States
u00562,2025-12-01,organic,France
u00563,2025-09-03,referral,Other
u00564,2025-08-19,paid,United States
u00565,2025-07-17,paid,France
u00566,2025-12-21,social,India
u00567,2025-12-10,paid,United States
u00568,2025-09-28,referral,Other
u00569,2025-12-19,other,Other
u00570,2025-04-01,paid,United States
u00571,2025-08-12,organic,United States
u00572,2025-07-14,paid,United States
u00573,2025-03-12,paid,Other
u00574,2025-02-11,other,Germany
u00575,2025-03-18,social,India
u00576,2025-05-19,social,United States
u00577,2025-04-17,organic,United Kingdom
u00578,2025-08-28,referral,France
u00579,2025-12-15,organic,India
u00580,2025-10-19,organic,United States
u00581,2025-11-01,organic,United States
u00582,2025-02-19,organic,Germany
u00583,2025-09-29,social,United States
u00584,2025-05-24,other,United States
u00585,2025-04-04,paid,France
u00586,2025-09-22,organic,India
u00587,2025-03-27,referral,Other
u00588,2025-02-13,organic,United States
u00589,2025-11-28,paid,India
u00590,2025-02-26,organic,United States
u00591,2025-08-16,paid,United States
u00592,2025-06-08,paid,United States
u00593,2025-10-22,organic,Australia
u00594,2025-03-17,paid,United States
u00595,2025-04-26,organic,India
u00596,2025-05-13,paid,United States
u00597,2025-04-01,paid,India
u00598,2025-10-27,organic,Other
u00599,2025-05-16,organic,United States
u00600,2025-04-13,paid,Australia
u00601,2025-09-23,organic,Other
u00602,2025-10-25,organic,United States
u00603,2025-10-20,organic,Other
u00604,2025-11-16,organic,United States
u00605,2025-12-03,paid,United States
u00606,2025-12-05,organic,United Kingdom
u00607,2025-01-26,organic,United States
u00608,2025-02-22,paid,Other
u00609,2025-02-26,paid,United States
u00610,2025-11-26,referral,United States
u00611,2025-05-01,organic,Brazil
u00612,2025-08-16,other,United States
u00613,2025-11-22,paid,United States
u00614,2025-03-11,organic,United States
u00615,2025-07-04,organic,United States
u00616,2025-04-21,social,Germany
u00617,2025-03-09,organic,United States
u00618,2025-11-23,organic,United States
u00619,2025-09-01,organic,Other
u00620,2025-10-22,paid,India
u00621,2025-07-21,referral,United States
u00622,2025-12-23,paid,United Kingdom
u00623,2025-08-11,social,Australia
u00624,2025-02-12,organic,United States
u00625,2025-01-18,paid,Germany
u00626,2025-05-22,organic,United States
u00627,2025-02-26,paid,United States
u00628,2025-02-26,organic,United States
u00629,2025-12-03,paid,France
u00630,2025-08-02,organic,United States
u00631,2025-01-25,social,United Kingdom
u00632,2025-02-16,organic,France
u00633,2025-07-16,paid,Germany
u00634,2025-10-11,paid,United States
u00635,2025-06-05,organic,United States
u00636,2025-11-22,paid,United States
u00637,2025-10-09,other,United States
u00638,2025-05-08,organic,Other
u00639,2025-09-28,paid,United States
u00640,2025-02-01,paid,Other
u00641,2025-06-05,social,India
u00642,2025-02-17,paid,India
u00643,2025-01-27,organic,Other
u00644,2025-10-29,organic,United States
u00645,2025-04-02,organic,United Kingdom
u00646,2025-09-09,organic,United States
u00647,2025-04-12,other,Australia
u00648,2025-06-26,organic,Canada
u00649,2025-11-14,social,United Kingdom
u00650,2025-09-12,paid,United States
u00651,2025-10-25,organic,United States
u00652,2025-12-18,social,United States
u00653,2025-03-10,organic,United Kingdom
u00654,2025-12-11,organic,India
u00655,2025-12-15,other,India
u00656,2025-06-25,paid,Other
u00657,2025-08-13,paid,Germany
u00658,2025-04-12,social,Australia
u00659,2025-12-20,other,Other
u00660,2025-08-04,paid,Brazil
u00661,2025-08-19,social,United States
u00662,2025-10-03,organic,United States
u00663,2025-09-17,organic,Other
u00664,2025-07-31,paid,Other
u00665,2025-05-02,organic,United States
u00666,2025-04-02,referral,India
u00667,2025-06-27,paid,France
u00668,2025-12-26,organic,India
u00669,2025-05-24,referral,Canada
u00670,2025-05-14,organic,Canada
u00671,2025-02-18,organic,United States
u00672,2025-02-26,paid,Germany
u00673,2025-08-26,organic,Other
u00674,2025-06-06,referral,United Kingdom
u00675,2025-05-16,paid,Australia
u00676,2025-05-25,organic,Australia
u00677,2025-10-27,organic,Canada
u00678,2025-04-04,referral,United Kingdom
u00679,2025-05-19,paid,Other
u00680,2025-08-09,paid,United States
u00681,2025-06-12,organic,Other
u00682,2025-04-05,paid,Other
u00683,2025-11-15,organic,Brazil
u00684,2025-03-04,organic,India
u00685,2025-04-07,other,Other
u00686,2025-11-12,paid,United States
u00687,2025-02-19,paid,United States
u00688,2025-02-02,paid,United States
u00689,2025-10-13,organic,India
u00690,2025-08-14,organic,India
u00691,2025-06-20,other,United States
u00692,2025-04-10,paid,United States
u00693,2025-08-20,social,Australia
u00694,2025-10-13,organic,United States
u00695,2025-10-02,referral,United States
u00696,2025-09-13,social,United States
u00697,2025-03-03,paid,Brazil
u00698,2025-07-31,paid,United States
u00699,2025-11-07,other,Canada
u00700,2025-06-23,organic,India
u00701,2025-05-31,referral,United Kingdom
u00702,2025-04-19,social,India
u00703,2025-10-12,social,Other
u00704,2025-11-14,paid,France
u00705,2025-03-22,other,United States
u00706,2025-10-04,organic,United States
u00707,2025-07-19,paid,United States
u00708,2025-08-27,organic,United Kingdom
u00709,2025-02-02,organic,Australia
u00710,2025-07-08,organic,France
u00711,2025-10-21,organic,United States
u00712,2025-01-18,social,Other
u00713,2025-02-06,paid,United States
u00714,2025-12-31,organic,Other
u00715,2025-12-13,social,India
u00716,2025-06-14,paid,Other
u00717,2025-06-22,other,Other
u00718,2025-08-30,organic,United Kingdom
u00719,2025-04-02,social,United States
u00720,2025-10-22,organic,United Kingdom
u00721,2025-07-10,paid,Other
u00722,2025-10-01,other,Canada
u00723,2025-04-17,referral,United States
u00724,2025-01-31,organic,Other
u00725,2025-12-02,organic,United States
u00726,2025-12-23,referral,Other
u00727,2025-01-13,organic,United States
u00728,2025-08-16,social,India
u00729,2025-10-10,social,United States
u00730,2025-03-25,organic,Brazil
u00731,2025-09-07,referral,United Kingdom
u00732,2025-07-20,referral,United States
u00733,2025-03-08,social,United States
u00734,2025-09-21,other,Australia
u00735,2025-01-04,paid,United States
u00736,2025-08-21,social,United States
u00737,2025-05-11,paid,Other
u00738,2025-09-16,other,India
u00739,2025-12-27,organic,United States
u00740,2025-04-29,paid,Brazil
u00741,2025-01-24,paid,India
u00742,2025-02-25,paid,United States
u00743,2025-02-23,social,United States
u00744,2025-01-10,referral,Canada
u00745,2025-12-14,paid,United States
u00746,2025-04-27,paid,India
u00747,2025-02-21,paid,India
u00748,2025-01-02,organic,United Kingdom
u00749,2025-03-10,organic,India
u00750,2025-09-16,organic,Canada
u00751,2025-05-07,social,India
u00752,2025-04-28,paid,United States
u00753,2025-04-12,organic,United States
u00754,2025-01-11,paid,United Kingdom
u00755,2025-10-09,organic,United States
u00756,2025-09-15,organic,United States
u00757,2025-04-15,social,Australia
u00758,2025-03-26,social,Germany
u00759,2025-11-11,organic,Australia
u00760,2025-08-14,social,United States
u00761,2025-04-11,organic,India
u00762,2025-04-28,paid,France
u00763,2025-10-27,organic,Canada
u00764,2025-05-15,referral,United States
u00765,2025-08-31,organic,France
u00766,2025-01-22,social,United States
u00767,2025-02-25,social,United States
u00768,2025-08-16,referral,India
u00769,2025-04-30,paid,Canada
u00770,2025-03-30,organic,India
u00771,2025-02-04,social,United States
u00772,2025-10-14,referral,United Kingdom
u00773,2025-05-17,other,United States
u00774,2025-09-27,referral,United States
u00775,2025-01-24,social,United States
u00776,2025-06-27,organic,Other
u00777,2025-03-13,social,United States
u00778,2025-03-26,referral,France
u00779,2025-02-01,organic,Other
u00780,2025-05-03,paid,Other
u00781,2025-10-06,organic,United States
u00782,2025-03-24,paid,India
u00783,2025-12-24,paid,United States
u00784,2025-01-27,organic,United States
u00785,2025-06-05,social,India
u00786,2025-11-02,paid,United States
u00787,2025-08-18,referral,United Kingdom
u00788,2025-12-06,organic,United Kingdom
u00789,2025-01-18,organic,Australia
u00790,2025-03-13,paid,United States
u00791,2025-04-22,organic,India
u00792,2025-09-25,organic,United States
u00793,2025-05-05,referral,Brazil
u00794,2025-01-14,social,United Kingdom
u00795,2025-02-12,paid,United States
u00796,2025-06-24,paid,Other
u00797,2025-10-25,social,United States
u00798,2025-09-29,organic,United States
u00799,2025-11-10,other,Germany
u00800,2025-08-24,organic,United States
u00801,2025-12-28,paid,Australia
u00802,2025-04-03,paid,United States
u00803,2025-09-08,organic,India
u00804,2025-07-05,organic,United States
u00805,2025-11-18,organic,United States
u00806,2025-06-04,social,United States
u00807,2025-07-14,organic,Brazil
u00808,2025-06-18,paid,Australia
u00809,2025-04-24,paid,United Kingdom
u00810,2025-06-14,paid,Germany
u00811,2025-03-09,organic,Other
u00812,2025-01-16,organic,India
u00813,2025-10-24,paid,Other
u00814,2025-06-06,organic,France
u00815,2025-08-21,referral,United States
u00816,2025-12-31,organic,Other
